color_id,Name,Code,Parts,In Sets,Wanted,For Sale,Color Timeline
1,White,FFFFFF,12966,9655,18361,12937,1949 - 2021
49,Very Light Gray,E8E8E8,22,24,1115,65,1997 - 2004
99,Very Light Bluish Gray,e4e8e8,50,46,1789,100,2004 - 2013
86,Light Bluish Gray,afb5c7,3996,6112,7229,4502,2003 - 2021
9,Light Gray,9c9c9c,1845,3187,4889,2356,1954 - 2008
10,Dark Gray,6b5a5a,1029,1689,3582,1420,1961 - 2006
85,Dark Bluish Gray,595D60,3510,5643,6655,3882,2003 - 2021
11,Black,212121,10507,11292,14790,10762,1957 - 2021
59,Dark Red,6a0e15,1440,1548,3363,1526,1961 - 2021
5,Red,b30006,7076,9614,10781,7458,1949 - 2021
27,Rust,B22222,9,13,1109,31,1989 - 2001
220,Coral,FF6347,119,167,457,122,2019 - 2021
231,Dark Salmon,FF4500,5,4,56,4,2003 - 2003
25,Salmon,F08080,83,27,334,87,1997 - 1999
26,Light Salmon,FFDAB9,49,19,325,54,1997 - 1999
58,Sand Red,8c6b6b,39,18,388,47,2001 - 2004
88,Reddish Brown,89351d,1799,3634,3733,2019,2003 - 2021
8,Brown,532115,566,1081,2885,890,1974 - 2006
120,Dark Brown,330000,665,1374,2404,707,2008 - 2021
69,Dark Tan,907450,954,1959,2599,999,1961 - 2021
2,Tan,dec69c,2076,4066,4576,2322,1958 - 2021
90,Light Nougat,feccb0,1477,1428,2696,1465,2004 - 2021
28,Nougat,FFAF7D,170,218,1049,207,1979 - 2021
150,Medium Nougat,E3A05B,755,1164,1706,780,2010 - 2021
225,Dark Nougat,E78B3E,3,10,402,18,2001 - 2004
91,Medium Brown,774125,40,28,1201,80,2002 - 2006
106,Fabuland Brown,B3694E,7,26,881,23,1979 - 1997
160,Fabuland Orange,EF9121,2,3,349,4,1983 - 1987
29,Earth Orange,E6881D,36,87,640,55,1982 - 2006
68,Dark Orange,b35408,636,1408,1957,714,1979 - 2021
4,Orange,FF7E14,1771,2938,3594,1942,1993 - 2021
31,Medium Orange,FFA531,141,120,870,172,1950 - 2012
110,Bright Light Orange,F7BA30,961,1321,2282,1031,2000 - 2021
32,Light Orange,f7ad63,16,17,373,59,1998 - 2005
96,Very Light Orange,E6C05D,1,2,346,16,2000 - 2000
161,Dark Yellow,DD982E,4,4,502,18,2004 - 2005
3,Yellow,f7d117,6233,9454,9608,7096,1949 - 2021
103,Bright Light Yellow,F3E055,363,629,1625,396,2004 - 2021
33,Light Yellow,ffe383,95,73,1030,151,1994 - 2011
35,Light Lime,EbEE8F,19,15,288,42,1992 - 2007
158,Yellowish Green,DFEEA5,158,212,468,175,2012 - 2021
76,Medium Lime,BDC618,64,36,357,87,1998 - 2005
34,Lime,A6CA55,1536,2161,2506,1660,1982 - 2021
155,Olive Green,7C9051,482,384,1695,520,2012 - 2021
80,Dark Green,2E5543,815,861,2603,887,1961 - 2021
6,Green,00642e,1890,4753,4141,2166,1949 - 2021
36,Bright Green,10cb31,545,1625,1949,639,1950 - 2021
37,Medium Green,62F58E,121,100,562,139,1950 - 2004
38,Light Green,a5dbb5,69,64,529,117,1992 - 2007
48,Sand Green,76a290,552,543,1579,611,1964 - 2021
39,Dark Turquoise,008a80,471,490,1233,537,1998 - 2021
40,Light Turquoise,31B5CA,49,39,535,91,1998 - 2004
41,Aqua,b5d3d6,81,60,1139,111,1998 - 2006
152,Light Aqua,CCFFFF,381,410,832,397,2011 - 2021
63,Dark Blue,143044,1910,1780,3686,1976,1961 - 2021
7,Blue,0057a6,3713,7631,6395,4061,1950 - 2021
153,Dark Azure,3399FF,564,713,1518,581,2000 - 2021
156,Medium Azure,42C0FB,717,1115,1490,770,2012 - 2021
42,Medium Blue,61afff,760,1023,1823,862,1949 - 2021
72,Maersk Blue,6BADD6,84,14,538,108,1974 - 2011
105,Bright Light Blue,9FC3E9,309,437,1235,368,2004 - 2021
62,Light Blue,B4D2E3,41,31,757,95,1950 - 2007
87,Sky Blue,7DBFDD,29,25,566,36,2003 - 2007
55,Sand Blue,5a7184,587,508,1631,643,2001 - 2021
97,Blue-Violet,506cef,37,17,631,67,2004 - 2005
109,Dark Blue-Violet,2032B0,7,5,663,14,2004 - 2006
43,Violet,3448a4,79,44,470,93,1992 - 2004
73,Medium Violet,9391e4,17,22,198,20,1999 - 2005
44,Light Violet,C9CAE2,70,39,304,82,1994 - 2004
89,Dark Purple,5f2683,859,1002,1842,928,2003 - 2021
24,Purple,a5499c,142,132,1148,240,1996 - 2008
93,Light Purple,DA70D6,26,14,436,64,1999 - 2006
157,Medium Lavender,885E9E,417,540,778,434,2012 - 2021
227,Clikits Lavender,E0AAD9,10,12,82,12,2005 - 2005
154,Lavender,B18CBF,267,367,698,315,2004 - 2021
54,Sand Purple,B57DA5,20,5,365,25,2001 - 2002
71,Magenta,B52952,504,789,1218,541,2000 - 2021
47,Dark Pink,C87080,665,1041,1360,720,1994 - 2021
94,Medium Dark Pink,F785B1,14,7,274,54,1992 - 1996
104,Bright Pink,FFBBFF,526,998,1251,572,2003 - 2021
23,Pink,FFC0CB,120,78,830,212,1991 - 2005
56,Light Pink,FFE1FF,6,12,388,52,1994 - 2007
12,Trans-Clear,EEEEEE,902,4583,2628,1126,1950 - 2021
13,Trans-Black,939484,431,1629,1153,502,1999 - 2021
17,Trans-Red,9C0010,203,3445,942,278,1969 - 2021
18,Trans-Neon Orange,FF4231,215,1018,728,319,1993 - 2021
98,Trans-Orange,D04010,192,1706,611,257,2003 - 2021
164,Trans-Light Orange,E99A3A,42,22,309,81,2003 - 2006
121,Trans-Neon Yellow,FFD700,27,34,337,69,2001 - 2006
19,Trans-Yellow,EBF72D,200,2294,783,274,1969 - 2021
16,Trans-Neon Green,C0F500,231,1093,715,279,1990 - 2021
108,Trans-Bright Green,10Cb31,149,425,532,198,2006 - 2021
221,Trans-Light Green,94E5AB,10,3,130,14,2005 - 2006
226,Trans-Light Bright Green,34EF55,26,18,114,39,2003 - 2006
20,Trans-Green,217625,135,1391,611,184,1969 - 2021
14,Trans-Dark Blue,00296B,253,1579,1049,314,1978 - 2021
74,Trans-Medium Blue,7384A5,103,202,757,152,2001 - 2018
15,Trans-Light Blue,68BCC5,718,2551,1623,862,1985 - 2021
113,Trans-Aqua,B7C8BF,38,38,363,48,2003 - 2006
114,Trans-Light Purple,B97AB1,20,18,184,30,2005 - 2006
51,Trans-Purple,8320B7,161,359,510,200,2000 - 2021
50,Trans-Dark Pink,CE1d9b,218,621,554,257,1998 - 2021
107,Trans-Pink,FF8298,64,44,229,80,2003 - 2006
21,Chrome Gold,f1f2e1,52,272,1395,56,1989 - 2021
22,Chrome Silver,DCDCDC,105,556,1996,190,1966 - 2018
57,Chrome Antique Brass,645a4c,3,16,323,4,2001 - 2005
122,Chrome Black,544E4F,11,1,987,11,2009 - 2009
52,Chrome Blue,5C66A4,5,14,309,15,1998 - 2006
64,Chrome Green,3CB371,1,2,329,5,1999 - 1999
82,Chrome Pink,aa4d8e,1,10,111,7,2001 - 2007
83,Pearl White,FFFFFF,3,5,410,18,2003 - 2006
119,Pearl Very Light Gray,D4D2CD,14,10,484,43,2002 - 2004
66,Pearl Light Gray,ACB7C0,424,620,1544,592,1993 - 2013
95,Flat Silver,8D949C,895,2511,2438,1034,1998 - 2021
77,Pearl Dark Gray,666660,606,961,2354,692,2002 - 2021
61,Pearl Light Gold,E7AE5A,16,9,350,53,2000 - 2006
115,Pearl Gold,e79500,880,1873,2299,974,2002 - 2021
81,Flat Dark Gold,AD7118,39,41,750,117,2003 - 2007
84,Copper,C66921,58,74,871,89,2001 - 2020
78,Metal Blue,5686AE,40,22,337,50,2002 - 2009
228,Satin White,FFFFFF,5,14,81,7,2020 - 2021
229,Satin Trans-Black,939484,2,3,26,3,2020 - 2021
233,Satin Trans-Bright Green,7fe15b,1,1,2,1,2021 - 2021
223,Satin Trans-Light Blue,68BCC5,18,34,59,21,2020 - 2021
232,Satin Trans-Dark Blue,1552e2,1,1,4,1,2021 - 2021
230,Satin Trans-Purple,8320B7,1,5,24,2,2020 - 2020
224,Satin Trans-Dark Pink,CE1d9b,5,14,34,5,2020 - 2021
67,Metallic Silver,C0C0C0,178,627,1938,255,1957 - 2021
70,Metallic Green,bdb573,26,7,338,36,2001 - 2018
65,Metallic Gold,B8860B,97,234,1215,175,1997 - 2021
60,Milky White,d4d3dd,26,142,451,69,1963 - 2008
159,Glow In Dark White,d9d9d9,52,61,786,66,2012 - 2021
46,Glow In Dark Opaque,d4d5c9,40,87,575,108,1990 - 2011
118,Glow In Dark Trans,bdc6ad,16,22,312,18,2005 - 2011
101,Glitter Trans-Clear,b2adaa,16,26,105,19,1999 - 2021
222,Glitter Trans-Orange,D04010,1,1,31,1,2020 - 2020
163,Glitter Trans-Neon Green,C0F500,1,8,73,2,2015 - 2018
162,Glitter Trans-Light Blue,68BCC5,16,24,108,21,2015 - 2020
102,Glitter Trans-Purple,3A2B82,10,48,111,12,2000 - 2021
100,Glitter Trans-Dark Pink,CE1d9b,12,36,123,14,1999 - 2021
111,Speckle Black-Silver,7C7E7C,15,46,163,19,2005 - 2013
151,Speckle Black-Gold,AB9421,2,4,163,5,2010 - 2011
116,Speckle Black-Copper,5F4E47,5,3,116,6,2006 - 2006
117,Speckle DBGray-Silver,4A6363,5,7,173,8,2006 - 2006
